Degree,Field_of_Study,University_GPA,Certifications,Internships_Completed,Job_Role
B.Des,Communication Design,6.82,React,2,Interior Architect
M.Tech,Artificial Intelligence (Masters),8.08,CPA,1,Senior Data Scientist
MBA,Aviation Management (Advanced),7.46,Scrum Master,1,Portfolio Manager
M.Tech,Environmental Engineering (Masters),7.03,Six Sigma,3,VLSI Architect
M.Sc,Artificial Intelligence (M.Sc),8.6,AWS,1,Data Engineer
B.Tech,AI & Data Science,7.31,AWS,3,Full Stack Developer
B.Com,Auditing,7.18,CPA,2,Tax Consultant
B.Tech,Agriculture Engineering,7.48,None,3,Automotive Design Engineer
M.Tech,Data Science (Masters),6.59,None,0,Robotics System Architect
B.A,Economics,9.56,Java,3,Content Writer
M.Sc,Artificial Intelligence (M.Sc),6.65,AutoCAD,3,Statistician
B.Tech,Aeronautical Engineering,9.6,Java,3,Robotics Engineer
B.Tech,Electrical & Electronics Engineering,7.05,None,3,Control Systems Engineer
B.Com,Corporate Secretaryship,8.17,AWS,1,Financial Auditor
BBA,Digital Marketing,7.22,Scrum Master,2,HR Generalist
B.A,Education,7.76,Java,1,Policy Analyst
M.Tech,VLSI,9.81,React,0,R&D Engineer
BBA,Digital Marketing,9.28,AWS,3,Business Analyst
BBA,Logistics & Supply Chain,7.05,React,0,HR Generalist
B.Tech,Mechanical Engineering,7.41,React,1,Process Engineer
M.Tech,Embedded Systems,8.65,AutoCAD,2,Senior Data Scientist
B.Com,Corporate Secretaryship,6.07,Six Sigma,1,Bank Officer
BBA,Marketing,6.29,React,2,Sales Manager
MBA,Hospitality & Tourism (Advanced),6.04,Python,0,Agri-Business Manager
M.Tech,Structural Engineering,7.73,AutoCAD,3,VLSI Architect
M.Tech,VLSI,9.21,CPA,1,R&D Engineer
B.Sc,Computer Science,8.1,AutoCAD,3,Lab Technician
B.Sc,Biotechnology,7.26,React,0,Dietician
B.Sc,Artificial Intelligence,6.93,Java,2,Forensic Expert
M.Sc,Data Science (M.Sc),7.83,Scrum Master,1,Clinical Psychologist
B.A,Political Science,9.82,AWS,2,Content Writer
B.Com,Business Analytics,9.01,AutoCAD,0,Chartered Accountant
B.A,Education,7.63,Scrum Master,3,Policy Analyst
BBA,Business Analytics,8.75,AutoCAD,3,Marketing Executive
B.Sc,Environmental Science,9.58,AWS,1,Clinical Research Associate
MBA,Agri-Business Management,8.19,Python,2,Hospital Administrator
BBA,Aviation Management,6.45,Six Sigma,0,Relationship Manager
B.Tech,Cybersecurity,7.43,CPA,0,Full Stack Developer
B.A,Performing Arts,7.42,AWS,0,Art Director
BBA,International Business,8.44,AutoCAD,0,Marketing Executive
B.A,Psychology,7.04,CPA,1,Policy Analyst
M.Sc,Food Science & Nutrition,9.77,Python,1,Senior Researcher
B.Tech,Information Technology,9.82,CPA,0,AI Engineer
M.Tech,Robotics,7.69,AutoCAD,0,VLSI Architect
B.Des,Interior Design,7.97,None,0,Fashion Stylist
B.A,Sociology,7.36,Scrum Master,2,Policy Analyst
B.Tech,Production Engineering,7.05,AWS,0,Process Engineer
M.Tech,Artificial Intelligence (Masters),6.66,Six Sigma,3,Robotics System Architect
B.Sc,Chemistry,6.4,Java,0,Forensic Expert
B.Com,Financial Markets,6.23,CPA,3,Bank Officer
M.Tech,Structural Engineering,8.79,CPA,1,Senior Data Scientist
MBA,Hospitality & Tourism (Advanced),8.16,None,0,Hospital Administrator
B.Des,Product Design,9.55,Scrum Master,2,UI/UX Designer
B.Tech,Biotechnology,8.69,Python,1,Biomedical Engineer
MBA,Digital Marketing (Advanced),8.08,None,2,Product Manager
BBA,Healthcare Management,6.97,None,1,Relationship Manager
M.Sc,Food Science & Nutrition,8.84,Python,2,Data Engineer
B.Des,Product Design,8.93,Six Sigma,1,Product Designer
M.Tech,Embedded Systems,8.24,AWS,1,Senior Data Scientist
BBA,Entrepreneurship,7.56,AWS,3,HR Generalist
B.Tech,Mining Engineering,6.6,Scrum Master,2,Site Supervisor
M.Sc,Artificial Intelligence (M.Sc),7.13,None,0,Clinical Psychologist
B.Des,Communication Design,6.2,AutoCAD,1,Interior Architect
B.Tech,Electronics & Communication Engineering,6.81,CPA,3,Maintenance Engineer
B.Sc,Biotechnology,7.62,CPA,2,Dietician
B.Sc,Biotechnology,7.96,AutoCAD,0,Dietician
B.A,Fine Arts,9.27,Python,1,Journalist
M.Tech,Artificial Intelligence (Masters),8.76,AWS,3,Senior Data Scientist
B.A,Philosophy,7.37,None,1,Policy Analyst
B.Sc,Data Science,9.7,Java,2,Software Developer
B.Sc,Nutrition & Dietetics,6.4,None,0,Registered Nurse
M.Tech,Thermal Engineering,6.22,None,0,Robotics System Architect
BBA,Business Analytics,9.02,React,0,Business Analyst
BBA,Aviation Management,8.97,CPA,2,Retail Store Manager
MBA,Agri-Business Management,6.03,React,3,Agri-Business Manager
B.Tech,Food Technology,7.23,Java,2,Automotive Design Engineer
MBA,Aviation Management (Advanced),8.09,Python,1,Hospital Administrator
B.Sc,Microbiology,7.04,Java,3,Dietician
B.Tech,Instrumentation Engineering,8.28,CPA,0,Embedded Systems Engineer
B.Tech,Data Science,9.7,AutoCAD,2,AI Engineer
B.Sc,Nursing,8.73,Six Sigma,1,Microbiologist
M.Tech,Information Technology (Masters),8.23,Python,0,Senior Data Scientist
BBA,Travel & Tourism,6.27,None,3,Relationship Manager
B.Tech,AI & Machine Learning,7.37,None,2,Full Stack Developer
M.Tech,Transportation Engineering,7.96,AWS,0,VLSI Architect
BBA,Hospitality Management,8.14,Java,2,Retail Store Manager
M.Tech,Thermal Engineering,9.71,Scrum Master,3,R&D Engineer
B.Sc,Forensic Science,8.31,CPA,1,Lab Technician
B.A,Performing Arts,9.81,Python,3,Journalist
B.Des,Textile Design,6.38,Scrum Master,2,Interior Architect
B.Des,Graphic Design,8.96,Six Sigma,1,Product Designer
B.Com,Banking & Insurance,7.93,AWS,3,Tax Consultant
MBA,Hospitality & Tourism (Advanced),8.03,CPA,1,Hospital Administrator
M.Tech,Embedded Systems,6.41,Java,1,Robotics System Architect
MBA,Healthcare Management (Advanced),6.99,Java,0,Agri-Business Manager
B.A,Performing Arts,9.46,Java,1,Journalist
B.Des,Textile Design,9.22,Scrum Master,2,UI/UX Designer
,Banking & Financial Services,8.93,C++,1,Supply Chain Manager
B.Com,Business Analytics,7.62,Python,1,Tax Consultant
MBA,Operations Management (Advanced),9.2,None,2,Investment Banker
B.Tech,Civil Engineering,7.08,AWS,0,Process Engineer
B.Tech,Textile Engineering,8.26,AutoCAD,2,Biomedical Engineer
B.Tech,Electrical Engineering,8.69,None,0,Embedded Systems Engineer
B.Tech,Aeronautical Engineering,8.35,Six Sigma,3,Biomedical Engineer
B.Tech,Biotechnology,8.98,CPA,0,Biomedical Engineer
MBA,Logistics & Supply Chain (Advanced),6.42,AutoCAD,3,Agri-Business Manager
BBA,Entrepreneurship,7.44,CPA,0,HR Generalist
B.A,Political Science,8.94,Scrum Master,1,Psychologist
B.Sc,Biotechnology,7.94,AWS,2,Dietician
M.Tech,Machine Learning,8.7,CPA,0,Senior Data Scientist
MBA,IT Management,9.57,None,2,Investment Banker
B.A,History,8.48,CPA,2,Psychologist
B.Sc,Mathematics,6.57,AutoCAD,0,Forensic Expert
B.A,Education,6.13,None,3,Social Worker
B.Com,Corporate Secretaryship,8.54,Java,1,Financial Auditor
B.Com,Auditing,8.17,CPA,3,Financial Auditor
,Political Science,6.94,AWS,1,Policy Analyst
B.A,Education,8.14,Six Sigma,0,Psychologist
B.Tech,AI & Data Science,8.06,Python,3,Data Scientist
M.Tech,Cybersecurity (Masters),8.99,None,1,Senior Data Scientist
B.Des,UI/UX Design,9.08,AWS,1,UI/UX Designer
B.Tech,Computer Science Engineering,9.01,CPA,1,AI Engineer
B.Sc,Computer Science,7.32,React,1,Data Analyst
M.Sc,Psychology (M.Sc),9.58,None,3,Senior Researcher
B.Tech,Food Technology,8.11,AWS,0,Biomedical Engineer
M.Tech,Mechanical Design,6.83,Six Sigma,0,Robotics System Architect
M.Sc,Psychology (M.Sc),6.71,Java,0,Statistician
B.A,Fine Arts,9.83,Six Sigma,3,Journalist
M.Tech,VLSI,8.32,Six Sigma,0,Senior Data Scientist
B.Tech,Cybersecurity,7.43,Java,1,Full Stack Developer
B.Tech,Aerospace Engineering,8.51,Six Sigma,2,Biomedical Engineer
B.A,History,7.72,Six Sigma,3,Policy Analyst
M.Tech,Manufacturing Engineering,6.17,CPA,0,Robotics System Architect
B.Sc,Electronics,7.78,AutoCAD,2,Data Analyst
B.A,Hindi,7.75,Java,1,Policy Analyst
B.Sc,Electronics,8.3,CPA,3,Lab Technician
M.Sc,Environmental Science (M.Sc),9.71,AWS,3,Senior Researcher
BBA,Marketing,7.75,None,0,HR Generalist
B.Tech,Electrical Engineering,6.54,Python,3,Maintenance Engineer
B.Des,Fashion Design,9.05,Scrum Master,1,UI/UX Designer
B.Des,UI/UX Design,9.12,Six Sigma,1,UI/UX Designer
M.Tech,Transportation Engineering,9.37,CPA,3,R&D Engineer
MBA,Operations Management (Advanced),7.53,AutoCAD,0,HR Director
MBA,Marketing (Advanced),7.95,Scrum Master,0,HR Director
B.Tech,Environmental Engineering,7.41,Scrum Master,3,Automotive Design Engineer
M.Tech,Biotechnology (Masters),7.52,React,1,VLSI Architect
M.Sc,Forensic Science (M.Sc),9.12,Python,2,Senior Researcher
B.Com,Computer Applications,6.72,Scrum Master,1,Bank Officer
B.A,Geography,6.61,React,3,Social Worker
B.Com,Auditing,7.57,Six Sigma,2,Tax Consultant
BBA,Retail Management,9.63,Python,2,Hotel Manager
B.Sc,Computer Science,6.56,CPA,0,Forensic Expert
B.Tech,Electronics & Communication Engineering,7.87,Scrum Master,0,Control Systems Engineer
M.Tech,Structural Engineering,9.64,React,2,R&D Engineer
B.Tech,Marine Engineering,9.01,AutoCAD,3,Robotics Engineer
B.A,Fine Arts,9.58,Python,3,Journalist
B.Sc,Physics,7.4,Java,1,Data Analyst
B.Com,Banking & Insurance,8.33,CPA,3,Financial Auditor
B.Sc,Agriculture,7.22,Scrum Master,3,Dietician
MBA,Marketing (Advanced),7.77,React,3,HR Director
BBA,Business Analytics,8.76,React,0,Marketing Executive
B.Sc,Artificial Intelligence,7.6,React,2,Data Analyst
B.Sc,Psychology,7.82,Python,1,Dietician
B.Tech,Biomedical Engineering,8.25,None,1,Biomedical Engineer
B.Tech,Aerospace Engineering,9.82,None,1,Robotics Engineer
B.Tech,Data Science,7.73,React,3,Full Stack Developer
B.Tech,Instrumentation Engineering,8.89,Scrum Master,0,Embedded Systems Engineer
M.Tech,Environmental Engineering (Masters),9.49,Six Sigma,1,R&D Engineer
B.Tech,Information Technology,8.24,Scrum Master,2,Data Scientist
B.Tech,Mechatronics Engineering,6.58,AutoCAD,0,Food Safety Officer
BBA,Logistics & Supply Chain,9.46,CPA,2,Business Analyst
MBA,Aviation Management (Advanced),6.56,AutoCAD,0,Agri-Business Manager
M.Tech,Cybersecurity (Masters),9.5,AWS,0,R&D Engineer
M.Tech,Manufacturing Engineering,9.22,Scrum Master,3,R&D Engineer
B.Sc,Information Technology,8.81,Python,1,Lab Technician
B.Tech,Electrical Engineering,9.71,None,2,VLSI Design Engineer
B.Com,Financial Markets,9.34,AWS,3,Chartered Accountant
M.Tech,Thermal Engineering,7.68,AWS,0,VLSI Architect
B.Com,Banking & Insurance,7.32,AutoCAD,2,Tax Consultant
BBA,Operations Management,6.69,Scrum Master,3,Sales Manager
B.A,Political Science,7.99,Java,3,Policy Analyst
M.Sc,Computer Science (M.Sc),7.67,Six Sigma,2,Clinical Psychologist
MBA,Agri-Business Management,7.65,AutoCAD,3,Portfolio Manager
M.Sc,Microbiology (M.Sc),9.82,Scrum Master,3,Senior Researcher
M.Tech,Machine Learning,8.55,AutoCAD,3,Senior Data Scientist
M.Tech,Cybersecurity (Masters),8.62,Java,3,Senior Data Scientist
B.A,English,7.63,None,1,Policy Analyst
B.A,Hindi,9.79,Java,2,Content Writer
M.Sc,Chemistry (M.Sc),9.8,React,0,Senior Researcher
B.Sc,Nursing,6.34,None,3,Registered Nurse
M.Tech,VLSI,7.3,None,2,VLSI Architect
B.A,Sanskrit,9.04,None,0,Content Writer
B.A,Psychology,7.93,AWS,2,Policy Analyst
M.Tech,Mechanical Design,8.63,AWS,1,Senior Data Scientist
,Hospitality Management,8.07,C++,2,Retail Store Manager
B.Sc,Statistics,9.69,Scrum Master,0,Software Developer
,Industrial Design,6.28,React,2,Interior Architect
B.A,Geography,8.74,None,2,Psychologist
M.Tech,VLSI,9.71,AWS,2,R&D Engineer
M.Tech,Computer Science Engineering (Masters),9.14,React,0,R&D Engineer
M.Tech,Artificial Intelligence (Masters),9.02,AutoCAD,2,R&D Engineer
M.Sc,Information Technology (M.Sc),6.55,Java,3,Statistician
B.Des,Animation & Multimedia,6.93,React,3,Interior Architect
BBA,Healthcare Management,9.52,AutoCAD,0,Hotel Manager
MBA,Hospitality & Tourism (Advanced),7.16,Six Sigma,0,Portfolio Manager
B.Sc,Computer Science,9.02,Python,3,Software Developer
B.Com,Banking & Insurance,6.44,Scrum Master,1,Bank Officer
B.Tech,Environmental Engineering,7.58,AWS,2,Automotive Design Engineer
BBA,Business Analytics,9.4,AWS,0,Business Analyst
B.Tech,Cybersecurity,7.53,Python,3,Full Stack Developer
MBA,Logistics & Supply Chain (Advanced),7.28,React,2,Portfolio Manager
,Artificial Intelligence,8.16,Python,1,Lab Technician
MBA,Logistics & Supply Chain (Advanced),7.93,Six Sigma,0,Portfolio Manager
BBA,Business Analytics,7.28,AutoCAD,1,HR Generalist
BBA,Healthcare Management,9.44,AWS,3,Hotel Manager
,Healthcare Management (Advanced),8.56,Photoshop,2,Supply Chain Manager
BBA,Entrepreneurship,8.98,AutoCAD,1,Marketing Executive
B.Tech,Petroleum Engineering,9.14,Java,2,Robotics Engineer
B.Tech,Robotics & Automation,8.41,Scrum Master,0,Biomedical Engineer
BBA,Aviation Management,8.74,Java,0,Retail Store Manager
B.Tech,Biomedical Engineering,8.37,AWS,3,Biomedical Engineer
M.Tech,Transportation Engineering,9.32,Java,2,R&D Engineer
B.Sc,Psychology,7.66,None,3,Dietician
B.Tech,Mining Engineering,7.54,AutoCAD,3,Process Engineer
BBA,Digital Marketing,9.86,AutoCAD,1,Business Analyst
BBA,Travel & Tourism,9.34,AWS,3,Hotel Manager
B.Tech,Electronics & Communication Engineering,7.21,None,0,Control Systems Engineer
M.Tech,Environmental Engineering (Masters),8.58,AWS,2,Senior Data Scientist
M.Tech,Embedded Systems,8.93,CPA,3,Senior Data Scientist
B.Sc,Electronics,9.9,React,1,Software Developer
B.Tech,Mechatronics Engineering,7.3,CPA,3,Automotive Design Engineer
M.Tech,Transportation Engineering,9.65,Java,2,R&D Engineer
B.A,Geography,8.53,AWS,3,Psychologist
B.Sc,Mathematics,6.53,AutoCAD,3,Forensic Expert
B.Tech,Agriculture Engineering,7.34,React,3,Automotive Design Engineer
M.Tech,Data Science (Masters),8.19,React,0,Senior Data Scientist
B.A,Tamil,9.1,Java,3,Content Writer
M.Sc,Psychology (M.Sc),7.14,Scrum Master,2,Clinical Psychologist
B.Tech,Information Technology,9.36,React,1,AI Engineer
B.Sc,Agriculture,9.85,AutoCAD,0,Clinical Research Associate
BBA,Logistics & Supply Chain,6.53,AutoCAD,0,Sales Manager
B.Tech,Cybersecurity,8.81,Java,1,Data Scientist
M.Sc,Information Technology (M.Sc),9.47,React,0,Senior Researcher
B.Com,Accounting & Finance,7.19,Python,1,Tax Consultant
M.Tech,Power Systems,8.89,AWS,2,Senior Data Scientist
M.Tech,Data Science (Masters),7.67,Python,1,VLSI Architect
B.A,Economics,8.92,Scrum Master,2,Psychologist
B.Sc,Physics,8.99,React,0,Lab Technician
B.Tech,Instrumentation Engineering,7.05,None,2,Control Systems Engineer
M.Tech,Robotics,7.2,Java,0,VLSI Architect
MBA,International Business (Advanced),8.61,Six Sigma,3,Product Manager
B.Sc,Computer Science,6.62,Six Sigma,0,Forensic Expert
BBA,Logistics & Supply Chain,8.89,AWS,2,Marketing Executive
B.Tech,Civil Engineering,9.35,React,1,Project Manager
B.A,Tamil,9.43,AWS,2,Content Writer
B.Tech,Data Science,9.63,CPA,3,AI Engineer
BBA,Healthcare Management,9.61,Six Sigma,3,Hotel Manager
M.Sc,Microbiology (M.Sc),8.63,AutoCAD,2,Data Engineer
B.A,Fine Arts,7.86,AWS,1,Art Director
M.Sc,Chemistry (M.Sc),8.53,CPA,3,Data Engineer
B.Tech,AI & Machine Learning,9.48,React,0,AI Engineer
M.Tech,VLSI,9.27,AutoCAD,1,R&D Engineer
B.Tech,Electrical Engineering,8.88,Scrum Master,3,Embedded Systems Engineer
B.Tech,AI & Data Science,9.09,Scrum Master,3,AI Engineer
B.Tech,Agriculture Engineering,6.59,CPA,1,Food Safety Officer
B.Tech,Automobile Engineering,9.79,Six Sigma,0,Robotics Engineer
MBA,Digital Marketing (Advanced),7.27,None,1,HR Director
B.Tech,Marine Engineering,7.37,None,3,Automotive Design Engineer
B.Sc,Physics,8.9,AWS,1,Lab Technician
B.Tech,Civil Engineering,7.05,CPA,2,Process Engineer
M.Sc,Biotechnology (M.Sc),7.54,CPA,2,Clinical Psychologist
B.Sc,Environmental Science,9.33,CPA,0,Clinical Research Associate
B.Tech,Mechatronics Engineering,8.51,Scrum Master,2,Biomedical Engineer
BBA,Banking & Insurance,6.58,None,3,Relationship Manager
B.Des,Product Design,6.08,Java,2,Interior Architect
MBA,Hospitality & Tourism (Advanced),9.67,None,0,Supply Chain Manager
BBA,Retail Management,9.3,Six Sigma,2,Hotel Manager
BBA,Operations Management,9.63,None,3,Business Analyst
M.Tech,Cybersecurity (Masters),7.05,Scrum Master,3,VLSI Architect
B.Sc,Microbiology,7.77,None,0,Dietician
B.Des,Textile Design,7.02,CPA,3,Fashion Stylist
B.Com,Financial Markets,8.48,AutoCAD,2,Financial Auditor
B.Sc,Electronics,8.21,Java,0,Lab Technician
B.Des,Graphic Design,9.28,AutoCAD,1,UI/UX Designer
B.Des,Communication Design,6.84,Scrum Master,2,Interior Architect
BBA,Business Analytics,7.58,Java,0,HR Generalist
B.Com,Auditing,8.96,Java,3,Financial Auditor
MBA,Logistics & Supply Chain (Advanced),7.11,CPA,0,Portfolio Manager
B.Des,Graphic Design,8.88,AWS,2,Product Designer
B.Tech,AI & Machine Learning,7.54,CPA,3,Full Stack Developer
MBA,International Business (Advanced),7.24,React,0,HR Director
B.Sc,Mathematics,8.68,React,1,Lab Technician
B.Des,Graphic Design,6.14,React,2,Interior Architect
MBA,Hospitality & Tourism (Advanced),6.84,None,2,Agri-Business Manager
BBA,International Business,7.85,CPA,1,HR Generalist
MBA,Hospitality & Tourism (Advanced),7.69,Six Sigma,3,Portfolio Manager
MBA,Healthcare Management (Advanced),7.19,AutoCAD,0,Portfolio Manager
BBA,Digital Marketing,6.58,Scrum Master,3,Sales Manager
B.A,Political Science,8.37,Six Sigma,3,Psychologist
BBA,International Business,7.89,Six Sigma,2,HR Generalist
B.Sc,Chemistry,6.19,Java,2,Forensic Expert
B.A,History,6.86,Java,2,Social Worker
B.Tech,Automobile Engineering,9.18,Java,3,Robotics Engineer
M.Tech,Computer Science Engineering (Masters),8.27,Six Sigma,3,Senior Data Scientist
B.A,Philosophy,8.0,Six Sigma,0,Psychologist
B.A,Political Science,7.52,Python,1,Policy Analyst
M.Tech,Cybersecurity (Masters),8.31,AWS,0,Senior Data Scientist
M.Tech,Power Systems,8.19,AutoCAD,0,Senior Data Scientist
M.Sc,Information Technology (M.Sc),7.64,Java,0,Clinical Psychologist
BBA,International Business,8.77,AutoCAD,2,Marketing Executive
B.Com,Financial Markets,9.73,Python,2,Chartered Accountant
B.Tech,Environmental Engineering,8.05,AWS,0,Biomedical Engineer
B.Tech,Production Engineering,8.85,AWS,1,Structural Engineer
M.Tech,Information Technology (Masters),8.52,AutoCAD,0,Senior Data Scientist
M.Tech,Machine Learning,9.64,AutoCAD,1,R&D Engineer
MBA,Finance (Advanced),8.99,AWS,1,Product Manager
M.Sc,Computer Science (M.Sc),6.38,AutoCAD,0,Statistician
M.Tech,Information Technology (Masters),6.27,AutoCAD,2,Robotics System Architect
B.Tech,Metallurgical Engineering,9.51,Scrum Master,3,Project Manager
B.Des,Jewellery Design,9.38,CPA,1,UI/UX Designer
B.Tech,Aerospace Engineering,9.65,Six Sigma,2,Robotics Engineer
M.Sc,Physics (M.Sc),9.74,AutoCAD,2,Senior Researcher
B.A,Geography,8.34,Java,3,Psychologist
B.Sc,Statistics,6.72,AWS,2,Forensic Expert
M.Tech,Mechanical Design,8.75,Scrum Master,3,Senior Data Scientist
B.Tech,AI & Data Science,7.13,Scrum Master,1,Full Stack Developer
BBA,Banking & Insurance,7.82,AutoCAD,1,Aviation Operations Manager
B.Com,Auditing,9.84,Six Sigma,1,Chartered Accountant
,Game Design,6.84,AWS,0,Fashion Stylist
B.Tech,Metallurgical Engineering,7.83,Six Sigma,3,Process Engineer
B.A,Geography,8.94,AutoCAD,1,Psychologist
M.Tech,Power Systems,8.8,Java,1,Senior Data Scientist
M.Tech,Cybersecurity (Masters),9.05,None,2,R&D Engineer
B.Des,Interior Design,8.32,CPA,1,Product Designer
B.Tech,Cybersecurity,9.46,Python,1,AI Engineer
B.A,Geography,9.56,AWS,2,Content Writer
B.Tech,Civil Engineering,7.6,Python,0,Process Engineer
B.Com,Auditing,7.22,Java,1,Tax Consultant
B.Tech,Food Technology,7.66,React,1,Automotive Design Engineer
B.Des,Jewellery Design,7.38,Six Sigma,1,Fashion Stylist
BBA,Finance,9.42,Six Sigma,3,Business Analyst
M.Sc,Computer Science (M.Sc),9.2,None,1,Senior Researcher
B.Com,International Business,6.42,React,2,Bank Officer
B.A,Education,6.93,Six Sigma,2,Social Worker
B.Des,UI/UX Design,9.48,CPA,0,UI/UX Designer
M.Sc,Statistics (M.Sc),6.94,Python,3,Statistician
B.Des,Communication Design,6.74,AWS,3,Interior Architect
B.A,Hindi,8.54,Six Sigma,2,Psychologist
B.Com,Corporate Secretaryship,7.03,AutoCAD,3,Tax Consultant
M.Sc,Artificial Intelligence (M.Sc),8.02,Six Sigma,0,Data Engineer
M.Sc,Computer Science (M.Sc),7.27,None,0,Clinical Psychologist
B.Des,Product Design,8.14,CPA,3,Product Designer
B.Tech,Instrumentation Engineering,9.49,Python,2,VLSI Design Engineer
B.A,History,9.44,AWS,1,Content Writer
B.Tech,Computer Science Engineering,7.64,Python,1,Full Stack Developer
B.Tech,Aerospace Engineering,6.18,Scrum Master,1,Food Safety Officer
BBA,Aviation Management,9.33,CPA,3,Hotel Manager
B.A,Sanskrit,7.36,AWS,0,Policy Analyst
M.Sc,Chemistry (M.Sc),9.36,AWS,2,Senior Researcher
M.Tech,Manufacturing Engineering,6.84,AutoCAD,0,Robotics System Architect
MBA,Business Analytics (Advanced),6.17,CPA,1,Business Development Manager
B.Tech,Aerospace Engineering,9.86,Python,0,Robotics Engineer
BBA,Logistics & Supply Chain,7.1,React,1,HR Generalist
B.A,Education,6.26,Java,0,Social Worker
M.Tech,Thermal Engineering,7.32,AutoCAD,0,VLSI Architect
M.Tech,Thermal Engineering,8.69,CPA,3,Senior Data Scientist
M.Tech,Mechanical Design,6.89,Java,3,Robotics System Architect
BBA,Operations Management,9.8,Java,2,Business Analyst
MBA,Agri-Business Management,9.86,None,0,Supply Chain Manager
B.A,Sociology,6.76,CPA,1,Social Worker
B.Sc,Data Science,7.17,Python,2,Data Analyst
M.Tech,VLSI,8.87,Python,2,Senior Data Scientist
M.Sc,Microbiology (M.Sc),8.85,Scrum Master,2,Data Engineer
MBA,IT Management,7.63,None,3,HR Director
B.Com,Computer Applications,9.18,Scrum Master,1,Chartered Accountant
M.Tech,Power Systems,7.32,None,0,VLSI Architect
BBA,Finance,9.42,AutoCAD,1,Business Analyst
B.Tech,Data Science,7.31,Java,2,Full Stack Developer
B.A,Economics,7.4,AWS,3,Policy Analyst
BBA,Finance,6.59,React,1,Sales Manager
M.Sc,Chemistry (M.Sc),7.3,AutoCAD,2,Clinical Psychologist
M.Sc,Computer Science (M.Sc),7.49,CPA,1,Clinical Psychologist
MBA,Retail Management (Advanced),8.38,React,1,Hospital Administrator
BBA,Human Resource Management,7.3,Python,1,HR Generalist
MBA,Digital Marketing (Advanced),7.19,AutoCAD,0,HR Director
B.A,Philosophy,9.48,Six Sigma,2,Content Writer
B.A,Geography,8.97,Scrum Master,2,Psychologist
B.Tech,Metallurgical Engineering,6.48,React,1,Site Supervisor
B.Des,Animation & Multimedia,7.37,React,3,Fashion Stylist
M.Tech,Machine Learning,8.47,CPA,3,Senior Data Scientist
B.A,Political Science,7.33,AWS,1,Policy Analyst
,Sanskrit,8.56,PMP,2,Content Writer
B.Sc,Electronics,7.96,React,1,Data Analyst
MBA,Agri-Business Management,8.72,AutoCAD,1,Hospital Administrator
M.Sc,Biotechnology (M.Sc),7.69,AWS,3,Clinical Psychologist
B.Sc,Microbiology,7.24,Scrum Master,3,Dietician
B.A,Sanskrit,6.45,AutoCAD,2,Social Worker
B.Com,Economics,6.22,AWS,1,Bank Officer
M.Tech,Machine Learning,9.07,Six Sigma,0,R&D Engineer
B.Com,Corporate Secretaryship,6.35,Python,1,Bank Officer
M.Sc,Psychology (M.Sc),9.51,None,0,Senior Researcher
B.Tech,Biotechnology,6.68,Python,1,Food Safety Officer
MBA,Banking & Financial Services,6.1,React,2,Agri-Business Manager
B.A,Sociology,7.02,CPA,2,Policy Analyst
M.Sc,Artificial Intelligence (M.Sc),6.27,AutoCAD,2,Statistician
B.Sc,Nutrition & Dietetics,7.29,CPA,3,Dietician
BBA,Marketing,9.5,Six Sigma,0,Business Analyst
B.A,Geography,6.44,Six Sigma,2,Social Worker
B.Com,Taxation,8.75,Six Sigma,0,Financial Auditor
M.Tech,Manufacturing Engineering,9.22,Python,0,R&D Engineer
B.Tech,Marine Engineering,8.5,Python,1,Biomedical Engineer
B.Com,Business Analytics,6.99,AutoCAD,2,Bank Officer
B.Com,Corporate Secretaryship,8.03,Scrum Master,1,Financial Auditor
B.Sc,Nutrition & Dietetics,7.89,Java,0,Dietician
B.Des,Product Design,6.82,React,1,Interior Architect
M.Tech,Environmental Engineering (Masters),8.24,CPA,2,Senior Data Scientist
M.Tech,Transportation Engineering,8.27,AutoCAD,1,Senior Data Scientist
B.Tech,Information Technology,6.1,None,2,System Engineer
BBA,Business Analytics,6.97,React,1,Sales Manager
BBA,Aviation Management,7.57,Scrum Master,2,Aviation Operations Manager
M.Tech,Machine Learning,9.85,AutoCAD,1,R&D Engineer
B.Com,Corporate Secretaryship,8.08,Java,0,Financial Auditor
B.Tech,AI & Data Science,7.13,CPA,0,Full Stack Developer
B.Sc,Psychology,6.84,AWS,2,Registered Nurse
B.Tech,Biomedical Engineering,7.88,React,3,Automotive Design Engineer
MBA,Business Analytics (Advanced),6.1,AWS,3,Business Development Manager
B.A,Public Administration,9.41,Java,0,Journalist
BBA,Retail Management,8.67,Six Sigma,2,Retail Store Manager
B.Sc,Forensic Science,8.17,React,3,Lab Technician
M.Sc,Mathematics (M.Sc),8.27,Scrum Master,1,Data Engineer
,Machine Learning,6.27,React,0,Robotics System Architect
BBA,Business Analytics,8.22,None,2,Marketing Executive
MBA,Marketing (Advanced),7.92,CPA,2,HR Director
MBA,Digital Marketing (Advanced),6.07,Scrum Master,0,Business Development Manager
,Data Science,7.02,,0,Full Stack Developer
B.Com,Banking & Insurance,9.84,Java,2,Chartered Accountant
M.Tech,Artificial Intelligence (Masters),8.75,CPA,2,Senior Data Scientist
M.Tech,Biotechnology (Masters),8.88,Scrum Master,1,Senior Data Scientist
B.A,Tamil,8.01,AutoCAD,3,Psychologist
